 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  1.12E-04   4.04E+02   5.19E+01   5.19E+01
  1.15E-04   3.85E+02   5.06E+01   5.06E+01
  1.17E-04   3.67E+02   4.94E+01   4.93E+01
  1.20E-04   3.50E+02   4.81E+01   4.81E+01
  1.23E-04   3.33E+02   4.69E+01   4.68E+01
  1.26E-04   3.17E+02   4.56E+01   4.56E+01
  1.29E-04   3.03E+02   4.44E+01   4.44E+01
  1.32E-04   2.88E+02   4.32E+01   4.32E+01
  1.35E-04   2.75E+02   4.20E+01   4.20E+01
  1.38E-04   2.62E+02   4.08E+01   4.08E+01
  1.41E-04   2.50E+02   3.97E+01   3.96E+01
  1.45E-04   2.38E+02   3.85E+01   3.85E+01
  1.48E-04   2.27E+02   3.74E+01   3.74E+01
  1.51E-04   2.16E+02   3.63E+01   3.62E+01
  1.55E-04   2.06E+02   3.52E+01   3.51E+01
  1.58E-04   1.96E+02   3.41E+01   3.41E+01
  1.62E-04   1.87E+02   3.30E+01   3.30E+01
  1.66E-04   1.78E+02   3.20E+01   3.20E+01
  1.70E-04   1.69E+02   3.10E+01   3.09E+01
  1.74E-04   1.61E+02   3.00E+01   2.99E+01
  1.78E-04   1.53E+02   2.90E+01   2.90E+01
  1.82E-04   1.46E+02   2.80E+01   2.80E+01
  1.86E-04   1.39E+02   2.71E+01   2.71E+01
  1.91E-04   1.32E+02   2.62E+01   2.61E+01
  1.95E-04   1.26E+02   2.53E+01   2.52E+01
  2.00E-04   1.20E+02   2.44E+01   2.44E+01
  2.04E-04   1.14E+02   2.35E+01   2.35E+01
  2.09E-04   1.08E+02   2.27E+01   2.27E+01
  2.14E-04   1.03E+02   2.19E+01   2.18E+01
  2.19E-04   9.76E+01   2.11E+01   2.10E+01
  2.24E-04   9.27E+01   2.03E+01   2.02E+01
  2.29E-04   8.81E+01   1.95E+01   1.95E+01
  2.34E-04   8.36E+01   1.88E+01   1.87E+01
  2.40E-04   7.94E+01   1.81E+01   1.80E+01
  2.45E-04   7.53E+01   1.73E+01   1.73E+01
  2.51E-04   7.14E+01   1.67E+01   1.66E+01
  2.57E-04   6.77E+01   1.60E+01   1.60E+01
  2.63E-04   6.42E+01   1.53E+01   1.53E+01
  2.69E-04   6.08E+01   1.47E+01   1.47E+01
  2.75E-04   5.76E+01   1.41E+01   1.41E+01
  2.82E-04   5.46E+01   1.35E+01   1.35E+01
  2.88E-04   5.16E+01   1.29E+01   1.29E+01
  2.95E-04   4.89E+01   1.24E+01   1.24E+01
  3.02E-04   4.62E+01   1.18E+01   1.18E+01
  3.09E-04   4.37E+01   1.13E+01   1.13E+01
  3.16E-04   4.13E+01   1.08E+01   1.08E+01
  3.24E-04   3.90E+01   1.05E+01   1.04E+01
  3.31E-04   3.69E+01   1.01E+01   1.01E+01
  3.39E-04   3.49E+01   9.74E+00   9.71E+00
  3.47E-04   3.30E+01   9.41E+00   9.37E+00
  3.55E-04   3.12E+01   9.08E+00   9.04E+00
  3.63E-04   2.95E+01   8.76E+00   8.72E+00
  3.72E-04   2.79E+01   8.45E+00   8.41E+00
  3.80E-04   2.64E+01   8.15E+00   8.11E+00
  3.89E-04   2.50E+01   7.86E+00   7.81E+00
  3.98E-04   2.36E+01   7.58E+00   7.53E+00
  4.07E-04   2.24E+01   7.30E+00   7.25E+00
  4.17E-04   2.11E+01   7.03E+00   6.98E+00
  4.27E-04   2.00E+01   6.77E+00   6.72E+00
  4.37E-04   1.89E+01   6.52E+00   6.47E+00
  4.47E-04   1.79E+01   6.27E+00   6.22E+00
  4.57E-04   1.69E+01   6.03E+00   5.98E+00
  4.68E-04   1.60E+01   5.79E+00   5.74E+00
  4.79E-04   1.51E+01   5.57E+00   5.51E+00
  4.90E-04   1.43E+01   5.34E+00   5.29E+00
  5.01E-04   1.35E+01   5.13E+00   5.07E+00
