 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  3.09E-01   1.85E-06   3.43E-07   3.43E-07
  3.16E-01   1.83E-06   3.38E-07   3.38E-07
  3.24E-01   1.80E-06   3.35E-07   3.35E-07
  3.31E-01   1.77E-06   3.32E-07   3.31E-07
  3.39E-01   1.75E-06   3.29E-07   3.28E-07
  3.47E-01   1.72E-06   3.25E-07   3.25E-07
  3.55E-01   1.70E-06   3.22E-07   3.22E-07
  3.63E-01   1.68E-06   3.20E-07   3.19E-07
  3.72E-01   1.66E-06   3.17E-07   3.16E-07
  3.80E-01   1.63E-06   3.14E-07   3.14E-07
  3.89E-01   1.61E-06   3.12E-07   3.11E-07
  3.98E-01   1.59E-06   3.09E-07   3.09E-07
  4.07E-01   1.57E-06   3.07E-07   3.06E-07
  4.17E-01   1.55E-06   3.04E-07   3.04E-07
  4.27E-01   1.53E-06   3.02E-07   3.02E-07
  4.37E-01   1.51E-06   3.00E-07   2.99E-07
  4.47E-01   1.50E-06   2.98E-07   2.97E-07
  4.57E-01   1.48E-06   2.96E-07   2.95E-07
  4.68E-01   1.46E-06   2.94E-07   2.93E-07
  4.79E-01   1.44E-06   2.92E-07   2.91E-07
  4.90E-01   1.43E-06   2.90E-07   2.89E-07
  5.01E-01   1.41E-06   2.88E-07   2.88E-07
  5.13E-01   1.40E-06   2.86E-07   2.86E-07
  5.25E-01   1.38E-06   2.85E-07   2.84E-07
  5.37E-01   1.37E-06   2.83E-07   2.83E-07
  5.50E-01   1.35E-06   2.82E-07   2.81E-07
  5.62E-01   1.34E-06   2.80E-07   2.80E-07
  5.75E-01   1.32E-06   2.79E-07   2.78E-07
  5.89E-01   1.31E-06   2.77E-07   2.77E-07
  6.03E-01   1.30E-06   2.76E-07   2.75E-07
  6.17E-01   1.28E-06   2.75E-07   2.74E-07
  6.31E-01   1.27E-06   2.73E-07   2.73E-07
  6.46E-01   1.26E-06   2.72E-07   2.72E-07
  6.61E-01   1.25E-06   2.71E-07   2.71E-07
  6.76E-01   1.24E-06   2.70E-07   2.69E-07
  6.92E-01   1.23E-06   2.69E-07   2.68E-07
  7.08E-01   1.21E-06   2.68E-07   2.67E-07
  7.24E-01   1.20E-06   2.67E-07   2.66E-07
  7.41E-01   1.19E-06   2.66E-07   2.66E-07
  7.59E-01   1.18E-06   2.65E-07   2.65E-07
  7.76E-01   1.17E-06   2.64E-07   2.64E-07
  7.94E-01   1.16E-06   2.64E-07   2.63E-07
  8.13E-01   1.15E-06   2.63E-07   2.62E-07
  8.32E-01   1.14E-06   2.62E-07   2.62E-07
  8.51E-01   1.14E-06   2.61E-07   2.61E-07
  8.71E-01   1.13E-06   2.61E-07   2.60E-07
  8.91E-01   1.12E-06   2.60E-07   2.60E-07
  9.12E-01   1.11E-06   2.60E-07   2.59E-07
  9.33E-01   1.10E-06   2.59E-07   2.58E-07
  9.55E-01   1.09E-06   2.59E-07   2.58E-07
  9.77E-01   1.09E-06   2.58E-07   2.57E-07
  1.00E+00   1.08E-06   2.58E-07   2.57E-07
