 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          3.47E+00   1.17E-02   1.75E-05   2.63E-10   1.10E-11   1.10E-11
   Max.:          1.16E+04   2.28E+02   9.13E-01   6.68E-05   2.64E-06   5.07E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.6     5.7    6.47E+02   1.36E+01   3.96E-02   3.60E-06   1.23E-07   2.52E-08
   5.7     5.8    6.47E+02   1.36E+01   3.96E-02   3.60E-06   1.23E-07   2.52E-08
   5.8     5.9    6.47E+02   1.36E+01   3.96E-02   3.60E-06   1.23E-07   2.52E-08
   5.9     6.0    6.47E+02   1.36E+01   3.96E-02   3.60E-06   1.23E-07   2.52E-08
   6.0     6.1    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.1     6.2    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.2     6.3    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.3     6.4    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.4     6.5    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.5     6.6    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.6     6.7    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.7     6.8    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.8     6.9    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   6.9     7.0    6.47E+02   1.34E+01   4.04E-02   3.84E-06   1.31E-07   2.65E-08
   7.0     7.1    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.1     7.2    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.2     7.3    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.3     7.4    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.4     7.5    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.5     7.6    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.6     7.7    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.7     7.8    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.8     7.9    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   7.9     8.0    7.29E+02   1.54E+01   4.42E-02   4.23E-06   1.45E-07   2.97E-08
   8.0     8.1    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.1     8.2    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.2     8.3    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.3     8.4    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.4     8.5    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.5     8.6    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.6     8.7    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.7     8.8    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.8     8.9    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   8.9     9.0    8.37E+02   1.74E+01   5.30E-02   4.57E-06   1.61E-07   3.47E-08
   9.0     9.1    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
   9.1     9.2    9.13E+02   1.89E+01   5.76E-02   5.21E-06   1.81E-07   3.80E-08
