 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          1.04E-02   6.10E-05   1.42E-07   9.58E-12   5.50E-13   1.68E-13
   Max.:          9.37E+01   4.09E-01   2.63E-03   5.17E-07   4.81E-08   1.78E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
  -121    -120    6.27E-02   5.85E-04   8.26E-07   2.26E-10   3.90E-12   5.81E-13
  -120    -119    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -119    -118    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -118    -117    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -117    -116    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -116    -115    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -115    -114    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -114    -113    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -113    -112    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -112    -111    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -111    -110    8.94E-02   7.20E-04   1.10E-06   5.16E-10   9.54E-12   2.65E-12
  -110    -109    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -109    -108    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -108    -107    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -107    -106    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -106    -105    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -105    -104    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -104    -103    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -103    -102    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -102    -101    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -101    -100    2.77E-01   1.87E-03   4.41E-06   3.57E-09   5.89E-11   8.99E-12
  -100     -99    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -99     -98    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -98     -97    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -97     -96    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -96     -95    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -95     -94    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -94     -93    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -93     -92    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -92     -91    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -91     -90    1.27E+00   3.63E-03   1.23E-05   7.93E-09   1.69E-10   3.75E-11
   -90     -89    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -89     -88    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -88     -87    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -87     -86    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -86     -85    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -85     -84    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -84     -83    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -83     -82    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -82     -81    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -81     -80    1.08E+01   4.78E-02   3.00E-04   6.09E-08   5.06E-09   1.82E-09
   -80     -79    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -79     -78    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -78     -77    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -77     -76    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -76     -75    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -75     -74    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -74     -73    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -73     -72    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -72     -71    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -71     -70    1.86E+01   8.43E-02   4.78E-04   8.60E-08   7.56E-09   2.63E-09
   -70     -69    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -69     -68    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -68     -67    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -67     -66    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -66     -65    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -65     -64    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -64     -63    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -63     -62    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -62     -61    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -61     -60    2.01E+01   1.01E-01   5.44E-04   9.74E-08   8.08E-09   2.93E-09
   -60     -59    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -59     -58    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -58     -57    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -57     -56    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -56     -55    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -55     -54    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -54     -53    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -53     -52    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -52     -51    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -51     -50    2.50E+01   1.50E-01   8.12E-04   1.28E-07   9.60E-09   3.60E-09
   -50     -49    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -49     -48    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -48     -47    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -47     -46    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -46     -45    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -45     -44    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -44     -43    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -43     -42    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -42     -41    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -41     -40    2.71E+01   1.52E-01   8.23E-04   1.45E-07   1.17E-08   4.69E-09
   -40     -39    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -39     -38    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -38     -37    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -37     -36    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -36     -35    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -35     -34    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -34     -33    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -33     -32    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -32     -31    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -31     -30    3.35E+01   1.78E-01   9.21E-04   1.65E-07   1.33E-08   4.83E-09
   -30     -29    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -29     -28    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -28     -27    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -27     -26    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -26     -25    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -25     -24    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -24     -23    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -23     -22    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -22     -21    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -21     -20    4.39E+01   2.05E-01   1.12E-03   2.00E-07   1.73E-08   6.26E-09
   -20     -19    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -19     -18    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -18     -17    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -17     -16    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -16     -15    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -15     -14    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -14     -13    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -13     -12    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
   -12     -11    7.10E+01   3.03E-01   1.81E-03   3.39E-07   2.91E-08   1.00E-08
