 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/kps)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
 Vel 1   Vel 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          7.94E+00   4.00E-02   1.48E-04   5.05E-09   7.65E-10   3.02E-10
   Max.:          1.84E+03   8.21E+00   5.10E-02   9.93E-06   8.73E-07   3.23E-07
 ------  ------   --------   --------   --------   --------   --------   --------  
   5.6     5.7    1.61E+02   7.47E-01   3.97E-03   7.21E-07   6.15E-08   2.18E-08
   5.7     5.8    1.61E+02   7.47E-01   3.97E-03   7.21E-07   6.15E-08   2.18E-08
   5.8     5.9    1.61E+02   7.47E-01   3.97E-03   7.21E-07   6.15E-08   2.18E-08
   5.9     6.0    1.61E+02   7.47E-01   3.97E-03   7.21E-07   6.15E-08   2.18E-08
   6.0     6.1    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.1     6.2    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.2     6.3    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.3     6.4    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.4     6.5    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.5     6.6    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.6     6.7    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.7     6.8    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.8     6.9    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   6.9     7.0    1.63E+02   7.76E-01   4.27E-03   7.61E-07   6.60E-08   2.46E-08
   7.0     7.1    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.1     7.2    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.2     7.3    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.3     7.4    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.4     7.5    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.5     7.6    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.6     7.7    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.7     7.8    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.8     7.9    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   7.9     8.0    1.80E+02   9.27E-01   4.87E-03   8.96E-07   7.50E-08   2.67E-08
   8.0     8.1    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.1     8.2    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.2     8.3    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.3     8.4    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.4     8.5    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.5     8.6    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.6     8.7    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.7     8.8    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.8     8.9    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   8.9     9.0    2.13E+02   1.12E+00   5.85E-03   9.96E-07   8.44E-08   3.11E-08
   9.0     9.1    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.1     9.2    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.2     9.3    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.3     9.4    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.4     9.5    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.5     9.6    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.6     9.7    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.7     9.8    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.8     9.9    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
   9.9    10.0    2.30E+02   1.19E+00   6.48E-03   1.19E-06   9.43E-08   3.50E-08
  10.0    10.1    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.1    10.2    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.2    10.3    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.3    10.4    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.4    10.5    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.5    10.6    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.6    10.7    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.7    10.8    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.8    10.9    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  10.9    11.0    2.66E+02   1.43E+00   7.74E-03   1.44E-06   1.22E-07   5.02E-08
  11.0    11.1    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.1    11.2    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.2    11.3    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.3    11.4    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.4    11.5    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.5    11.6    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.6    11.7    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.7    11.8    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.8    11.9    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  11.9    12.0    3.45E+02   2.03E+00   1.10E-02   1.70E-06   1.39E-07   5.38E-08
  12.0    12.1    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.1    12.2    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.2    12.3    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.3    12.4    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.4    12.5    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.5    12.6    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.6    12.7    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.7    12.8    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.8    12.9    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  12.9    13.0    4.66E+02   2.70E+00   1.47E-02   2.36E-06   1.83E-07   6.82E-08
  13.0    13.1    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.1    13.2    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.2    13.3    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.3    13.4    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.4    13.5    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.5    13.6    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.6    13.7    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.7    13.8    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.8    13.9    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  13.9    14.0    6.59E+02   3.23E+00   1.77E-02   3.10E-06   2.69E-07   9.84E-08
  14.0    14.1    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.1    14.2    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.2    14.3    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.3    14.4    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.4    14.5    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.5    14.6    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.6    14.7    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.7    14.8    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.8    14.9    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  14.9    15.0    1.80E+03   8.21E+00   5.10E-02   8.68E-06   7.87E-07   2.75E-07
  15.0    15.1    1.84E+03   7.62E+00   4.65E-02   9.93E-06   8.73E-07   3.23E-07
