 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  3.80E-01   1.41E-06   2.37E-07   2.37E-07
  3.89E-01   1.40E-06   2.35E-07   2.35E-07
  3.98E-01   1.39E-06   2.33E-07   2.33E-07
  4.07E-01   1.38E-06   2.30E-07   2.30E-07
  4.17E-01   1.37E-06   2.28E-07   2.28E-07
  4.27E-01   1.36E-06   2.26E-07   2.26E-07
  4.37E-01   1.35E-06   2.24E-07   2.24E-07
  4.47E-01   1.34E-06   2.22E-07   2.21E-07
  4.57E-01   1.33E-06   2.20E-07   2.19E-07
  4.68E-01   1.32E-06   2.18E-07   2.17E-07
  4.79E-01   1.31E-06   2.16E-07   2.15E-07
  4.90E-01   1.30E-06   2.14E-07   2.13E-07
  5.01E-01   1.29E-06   2.12E-07   2.12E-07
  5.13E-01   1.28E-06   2.10E-07   2.10E-07
  5.25E-01   1.27E-06   2.08E-07   2.08E-07
  5.37E-01   1.26E-06   2.06E-07   2.06E-07
  5.50E-01   1.25E-06   2.04E-07   2.04E-07
  5.62E-01   1.25E-06   2.03E-07   2.03E-07
  5.75E-01   1.24E-06   2.01E-07   2.01E-07
  5.89E-01   1.23E-06   2.00E-07   1.99E-07
  6.03E-01   1.22E-06   1.98E-07   1.98E-07
  6.17E-01   1.21E-06   1.96E-07   1.96E-07
  6.31E-01   1.21E-06   1.95E-07   1.95E-07
  6.46E-01   1.20E-06   1.93E-07   1.93E-07
  6.61E-01   1.19E-06   1.92E-07   1.92E-07
  6.76E-01   1.19E-06   1.91E-07   1.91E-07
  6.92E-01   1.18E-06   1.89E-07   1.89E-07
  7.08E-01   1.17E-06   1.88E-07   1.88E-07
  7.24E-01   1.17E-06   1.87E-07   1.87E-07
  7.41E-01   1.16E-06   1.85E-07   1.85E-07
  7.59E-01   1.15E-06   1.84E-07   1.84E-07
  7.76E-01   1.15E-06   1.83E-07   1.83E-07
  7.94E-01   1.14E-06   1.82E-07   1.82E-07
  8.13E-01   1.14E-06   1.81E-07   1.81E-07
  8.32E-01   1.13E-06   1.80E-07   1.80E-07
  8.51E-01   1.12E-06   1.79E-07   1.79E-07
  8.71E-01   1.12E-06   1.78E-07   1.78E-07
  8.91E-01   1.11E-06   1.77E-07   1.77E-07
  9.12E-01   1.11E-06   1.76E-07   1.76E-07
  9.33E-01   1.11E-06   1.75E-07   1.75E-07
  9.55E-01   1.10E-06   1.74E-07   1.74E-07
  9.77E-01   1.10E-06   1.74E-07   1.73E-07
  1.00E+00   1.09E-06   1.73E-07   1.73E-07
