 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2024  Perigee Altitude =    550.000  Apogee Altitude =   550.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  2.04E-05   1.31E+03   1.17E+02   1.17E+02
  2.09E-05   1.25E+03   1.10E+02   1.10E+02
  2.14E-05   1.18E+03   1.04E+02   1.04E+02
  2.19E-05   1.12E+03   9.80E+01   9.79E+01
  2.24E-05   1.06E+03   9.23E+01   9.23E+01
  2.29E-05   1.01E+03   8.69E+01   8.69E+01
  2.34E-05   9.53E+02   8.19E+01   8.19E+01
  2.40E-05   9.03E+02   7.72E+01   7.72E+01
  2.45E-05   8.56E+02   7.27E+01   7.27E+01
  2.51E-05   8.12E+02   6.85E+01   6.85E+01
  2.57E-05   7.69E+02   6.45E+01   6.45E+01
  2.63E-05   7.29E+02   6.08E+01   6.08E+01
  2.69E-05   6.91E+02   5.73E+01   5.72E+01
  2.75E-05   6.55E+02   5.39E+01   5.39E+01
  2.82E-05   6.21E+02   5.08E+01   5.08E+01
  2.88E-05   5.89E+02   4.79E+01   4.79E+01
  2.95E-05   5.58E+02   4.51E+01   4.51E+01
  3.02E-05   5.29E+02   4.25E+01   4.25E+01
  3.09E-05   5.01E+02   4.00E+01   4.00E+01
  3.16E-05   4.75E+02   3.77E+01   3.77E+01
  3.24E-05   4.51E+02   3.60E+01   3.60E+01
  3.31E-05   4.27E+02   3.44E+01   3.44E+01
  3.39E-05   4.05E+02   3.29E+01   3.29E+01
  3.47E-05   3.84E+02   3.14E+01   3.14E+01
  3.55E-05   3.64E+02   3.00E+01   3.00E+01
  3.63E-05   3.45E+02   2.87E+01   2.87E+01
  3.72E-05   3.27E+02   2.74E+01   2.74E+01
  3.80E-05   3.09E+02   2.62E+01   2.62E+01
  3.89E-05   2.93E+02   2.50E+01   2.50E+01
  3.98E-05   2.78E+02   2.39E+01   2.39E+01
  4.07E-05   2.63E+02   2.28E+01   2.28E+01
  4.17E-05   2.49E+02   2.18E+01   2.18E+01
  4.27E-05   2.36E+02   2.08E+01   2.08E+01
  4.37E-05   2.24E+02   1.98E+01   1.98E+01
  4.47E-05   2.12E+02   1.89E+01   1.89E+01
  4.57E-05   2.01E+02   1.81E+01   1.81E+01
  4.68E-05   1.91E+02   1.73E+01   1.73E+01
